Method,Accuracy,BalancedAccuracy,MacroPrecision,MacroRecall,MacroF1,MacroAUROC,MacroFPR,LogLoss,TrainSeconds,CommMB,Parameters,PoisonRatio,AttackType,Attackers,Seed,Scenario
FedAvg,0.7291174426685199,0.16666666666666666,0.12151957377808664,0.16666666666666666,0.14055676124641642,0.5,0.16666666666666666,4.318514147092793,31.707080364227295,17.28973388671875,22662,0.3,sign_flip,"1,5,7",41,sign_flip@0.3
CoordMedian,0.5544961779013203,0.4829627292089369,0.5760134775808431,0.4829627292089369,0.3303823630856611,0.9496172927753594,0.08779079403241175,0.9356994394999262,33.01259136199951,17.28973388671875,22662,0.3,sign_flip,"1,5,7",41,sign_flip@0.3
TrimmedMean,0.7422098679638638,0.3372744584380602,0.4424166689915133,0.3372744584380602,0.23037724761664116,0.9305987186311045,0.14522207946470972,0.9931505746759114,31.88425374031067,17.28973388671875,22662,0.3,sign_flip,"1,5,7",41,sign_flip@0.3
MultiKrum,0.5887143849895761,0.6353410001695312,0.5618328114659552,0.6353410001695312,0.5050218613097087,0.9547866330859452,0.08196298622121673,1.4554535880954456,31.155325889587402,17.28973388671875,22662,0.3,sign_flip,"1,5,7",41,sign_flip@0.3
Async-Stale,0.7291174426685199,0.16666666666666666,0.12151957377808664,0.16666666666666666,0.14055676124641642,0.49327202956387506,0.16666666666666666,4.318514147092793,26.321714401245117,14.350479125976562,22662,0.3,sign_flip,"1,5,7",41,sign_flip@0.3
RawTrust,0.730813064628214,0.17879872712808273,0.18848739999725103,0.17879872712808273,0.16142132368219367,0.48048446958202895,0.16448632723456888,4.276002661688231,26.614452362060547,14.350479125976562,22662,0.3,sign_flip,"1,5,7",41,sign_flip@0.3
AgriTrust-ACFL,0.8236275191104934,0.5675715033290809,0.7685158699097289,0.5675715033290809,0.5524975314671636,0.9561481327099023,0.09705606434973686,0.36569105872704855,32.4320273399353,14.350479125976562,22662,0.3,sign_flip,"1,5,7",41,sign_flip@0.3
FedAvg,0.8091730368311327,0.5046485729521378,0.7939805666694403,0.5046485729521378,0.4521673719880647,0.9388480772808879,0.10925734241012341,1.043841425661476,33.15920829772949,17.28973388671875,22662,0.3,model_replace,"1,5,7",41,model_replace@0.3
CoordMedian,0.6058373870743572,0.6774400124598973,0.7642190980774416,0.6774400124598973,0.6186973538477919,0.9541732993008057,0.07958240913925572,0.5358881921073677,32.460384368896484,17.28973388671875,22662,0.3,model_replace,"1,5,7",41,model_replace@0.3
TrimmedMean,0.683780403057679,0.7134788184510706,0.7516847912936032,0.7134788184510706,0.6692061910854878,0.9560899746408645,0.07044714194314809,0.46641881203159935,31.974323987960815,17.28973388671875,22662,0.3,model_replace,"1,5,7",41,model_replace@0.3
MultiKrum,0.6104239054899235,0.6794307039250205,0.6769319547641691,0.6794307039250205,0.6150735506697907,0.957814534422183,0.07846049695644602,0.5050686136612266,30.561530113220215,17.28973388671875,22662,0.3,model_replace,"1,5,7",41,model_replace@0.3
Async-Stale,0.6150938151494093,0.4555146412819811,0.3107215696634182,0.4555146412819811,0.3057787222856547,0.6826422184329134,0.11223851659857143,1.8901026429157142,26.647151708602905,14.350479125976562,22662,0.3,model_replace,"1,5,7",41,model_replace@0.3
RawTrust,0.7201111883252258,0.5370384252865982,0.39222832002920494,0.5370384252865982,0.4026544255199814,0.7829547707510165,0.08830220366187493,0.8874288820366418,26.831533193588257,14.350479125976562,22662,0.3,model_replace,"1,5,7",41,model_replace@0.3
AgriTrust-ACFL,0.8354690757470465,0.6286636391719501,0.8563995784981709,0.6286636391719501,0.6485255737744622,0.958201600957371,0.09447925073681966,0.360810117727328,32.380438804626465,14.350479125976562,22662,0.3,model_replace,"1,5,7",41,model_replace@0.3
FedAvg,0.8076441973592773,0.5269762561713411,0.6975844510713064,0.5269762561713411,0.4790567686093046,0.9399549858685788,0.10870269731839242,0.8371940389179804,33.86058497428894,17.28973388671875,22662,0.3,collusive_scale,"1,5,7",41,collusive_scale@0.3
CoordMedian,0.6055594162612926,0.6468883534245237,0.7753226512035752,0.6468883534245237,0.576279178119274,0.9563668708823778,0.07921731189101586,0.5996564067608448,31.43393325805664,17.28973388671875,22662,0.3,collusive_scale,"1,5,7",41,collusive_scale@0.3
TrimmedMean,0.5926893676164002,0.6115100847977231,0.6145124169401907,0.6115100847977231,0.5129491305647907,0.9267289493836485,0.08130790719956009,1.1079249086221612,30.24484348297119,17.28973388671875,22662,0.3,collusive_scale,"1,5,7",41,collusive_scale@0.3
MultiKrum,0.6093676164002779,0.6761035770024036,0.679349285528911,0.6761035770024036,0.6047854613675082,0.9576253291298343,0.07865422096084036,0.5046796591475335,32.071555852890015,17.28973388671875,22662,0.3,collusive_scale,"1,5,7",41,collusive_scale@0.3
