RawLabel,HarmonizedClass,Rows,UsedInTask
BenignTraffic,Benign,4190,True
DDoS-ACK_Fragmentation,DDoS,1123,True
DDoS-HTTP_Flood,DDoS,95,True
DDoS-ICMP_Flood,DDoS,27750,True
DDoS-ICMP_Fragmentation,DDoS,1750,True
DDoS-PSHACK_Flood,DDoS,15743,True
DDoS-RSTFINFlood,DDoS,15738,True
DDoS-SYN_Flood,DDoS,15831,True
DDoS-SlowLoris,DDoS,79,True
DDoS-SynonymousIP_Flood,DDoS,13824,True
DDoS-TCP_Flood,DDoS,17422,True
DDoS-UDP_Flood,DDoS,20702,True
DDoS-UDP_Fragmentation,DDoS,1094,True
DoS-HTTP_Flood,DoS,282,True
DoS-SYN_Flood,DoS,7716,True
DoS-TCP_Flood,DoS,10331,True
DoS-UDP_Flood,DoS,12755,True
Mirai-greeth_flood,Mirai,3880,True
Mirai-greip_flood,Mirai,2852,True
Mirai-udpplain,Mirai,3434,True
Backdoor_Malware,Other,12,False
BrowserHijacking,Other,14,False
CommandInjection,Other,8,False
DictionaryBruteForce,Other,54,False
SqlInjection,Other,23,False
Uploading_Attack,Other,6,False
XSS,Other,11,False
Recon-HostDiscovery,Recon,518,True
Recon-OSScan,Recon,366,True
Recon-PingSweep,Recon,7,True
Recon-PortScan,Recon,328,True
VulnerabilityScan,Recon,134,True
DNS_Spoofing,Spoofing,748,True
MITM-ArpSpoofing,Spoofing,1180,True
