Feature,TrainMean,TrainStd,MissingFraction
IAT,83288068.95022064,16869138.02841195,0.0
Header_Length,76338.13629385394,460870.4187685376,0.0
Covariance,29288.34545517693,265274.3423937304,0.0
Srate,8576.750920250424,94600.13507105355,0.0
Rate,8576.750920250424,94600.13507105355,0.0
Tot sum,1305.8198347330351,2605.383685898674,0.0
Max,180.18783759502395,511.34218452241225,0.0
rst_count,38.046879909972056,326.5113373707761,0.0
AVG,124.11388643070673,238.846137825229,0.0
Tot size,123.95294954644838,238.11355424785276,0.0
flow_duration,5.069487129597697,229.006808770647,0.0
Radius,46.30266611840986,222.0054287776843,0.0
Std,32.76034103403279,156.9607026454672,0.0
Min,91.53426503569737,139.68944972597768,0.0
urg_count,6.073620041968768,71.09796961431869,0.0
Weight,141.63361747433905,20.84738067978176,0.0
Duration,66.2550105824449,13.655166136228457,0.0
Protocol Type,9.049198927661095,8.936414570868413,0.0
Magnitue,13.103791765378752,8.599730467511876,0.0
Number,9.503190284428635,0.8108247191062437,0.0
syn_count,0.3292605704800569,0.6618259008626051,0.0
TCP,0.5758097012088497,0.4942218231631789,0.0
UDP,0.21075990268379838,0.40785015255523455,0.0
syn_flag_number,0.20748118300007604,0.40550499923959527,0.0
ICMP,0.163365772067209,0.3697008189264225,0.0
ack_flag_number,0.12242454192959781,0.32777704999288365,0.0
fin_count,0.10059821945609261,0.2995927634055565,0.0
rst_flag_number,0.09216528548620087,0.2892605068338907,0.0
ack_count,0.09186417673077925,0.28767112343904006,0.0
fin_flag_number,0.08809777237132213,0.28343838547902483,0.0
psh_flag_number,0.08800273701817075,0.28330022597909105,0.0
Variance,0.09546513214934317,0.23160047981752352,0.0
HTTPS,0.05494944119212347,0.22788263125597957,0.0
HTTP,0.04864859727818749,0.21513333332369167,0.0
IPv,0.9998574469702729,0.011938763040536775,0.0
LLC,0.9998574469702729,0.011938763040536775,0.0
DNS,0.00011404242378164677,0.01067850653417187,0.0
ARP,7.602828252109785e-05,0.008719129813852162,0.0
Drate,1.7157671388541833e-05,0.004026236931061625,0.0
