Client,Class,Count,Fraction
0,Benign,0,0.0
0,DDoS,2308,0.312652397724194
0,DoS,4900,0.6637767542671362
0,Mirai,155,0.020997019777837984
0,Recon,1,0.000135464643727987
0,Spoofing,18,0.002438363587103766
1,Benign,25,0.001235910618944038
1,DDoS,18162,0.8978643464504648
1,DoS,1488,0.07356140003954914
1,Mirai,33,0.0016314020170061301
1,Recon,520,0.02570694087403599
1,Spoofing,0,0.0
2,Benign,3,0.00024388261116982358
2,DDoS,1987,0.1615315827981465
2,DoS,10191,0.8284692301438907
2,Mirai,38,0.003089179741484432
2,Recon,18,0.0014632956670189415
2,Spoofing,64,0.00520282903828957
3,Benign,280,0.010643959552953698
3,DDoS,26026,0.9893560404470463
3,DoS,0,0.0
3,Mirai,0,0.0
3,Recon,0,0.0
3,Spoofing,0,0.0
4,Benign,472,0.612987012987013
4,DDoS,68,0.08831168831168831
4,DoS,113,0.14675324675324675
4,Mirai,0,0.0
4,Recon,107,0.13896103896103895
4,Spoofing,10,0.012987012987012988
5,Benign,309,0.6702819956616052
5,DDoS,42,0.0911062906724512
5,DoS,14,0.03036876355748373
5,Mirai,84,0.1822125813449024
5,Recon,9,0.019522776572668113
5,Spoofing,3,0.006507592190889371
6,Benign,57,0.05544747081712062
6,DDoS,1,0.0009727626459143969
6,DoS,0,0.0
6,Mirai,26,0.02529182879377432
6,Recon,0,0.0
6,Spoofing,944,0.9182879377431906
7,Benign,1168,0.1248396750748183
7,DDoS,1700,0.18170158187259514
7,DoS,784,0.0837964942283027
7,Mirai,5610,0.5996152201795639
7,Recon,7,0.000748182984181274
7,Spoofing,87,0.009298845660538691
8,Benign,72,0.0027370181707595228
8,DDoS,26234,0.9972629818292404
8,DoS,0,0.0
8,Mirai,0,0.0
8,Recon,0,0.0
8,Spoofing,0,0.0
9,Benign,66,0.06077348066298342
9,DDoS,195,0.17955801104972377
9,DoS,693,0.638121546961326
9,Mirai,1,0.0009208103130755065
9,Recon,129,0.11878453038674033
9,Spoofing,2,0.001841620626151013
