Method,Round,Client,Staleness,Malicious,DirectionScore,NormScore,MaxSimilarity,SimilarityScore,ConsensusVotes,InstantTrust,UpdatedTrust,UpdateNorm,Accepted,Probation,AggregationWeight,ClipCap,EffectiveThreshold,TrustUpdate,UsedForCalibration
AgriTrust-ACFL,1,0,0,False,0.7947403490543365,1.0,0.845609188079834,1.0,9,0.8589921949634631,0.9647480487408657,2.5900585651397705,True,False,7121.770095805071,6.475146412849426,0.0,symmetric,False
AgriTrust-ACFL,1,1,0,False,0.7871063351631165,0.6703215457010187,0.5104924440383911,1.0,9,0.7441259059956237,0.936031476498906,3.097116708755493,True,False,18934.04470661987,6.475146412849426,0.0,symmetric,False
AgriTrust-ACFL,1,2,0,False,0.8096384406089783,0.8975206728069973,0.845609188079834,1.0,9,0.8539833899766819,0.9634958474941705,2.7183024883270264,True,False,11851.962420025791,6.475146412849426,0.0,symmetric,False
AgriTrust-ACFL,1,4,0,False,0.7407343685626984,0.03044979284085326,0.5002460479736328,1.0,9,0.29517108107487444,0.8237927702687187,0.5438783168792725,True,False,634.3204331069134,6.475146412849426,0.0,symmetric,False
AgriTrust-ACFL,1,5,0,False,0.6977164149284363,0.0076006727817274685,0.5002460479736328,1.0,9,0.18603786946954007,0.796509467367385,0.29247739911079407,True,False,367.1908644563645,6.475146412849426,0.0,symmetric,False
AgriTrust-ACFL,1,6,0,False,0.5800812840461731,0.06428825549013109,0.22350600361824036,1.0,9,0.3200866034618705,0.8300216508654676,0.759570300579071,True,False,853.2622570897007,6.475146412849426,0.0,symmetric,False
AgriTrust-ACFL,1,7,0,False,0.7808342576026917,0.8821825722625568,0.46496284008026123,1.0,9,0.8395338877550916,0.9598834719387729,2.7393269538879395,True,False,8980.669763459158,6.475146412849426,0.0,symmetric,False
AgriTrust-ACFL,1,8,0,False,0.6893922984600067,0.8098892744571853,0.4124302864074707,1.0,9,0.7362704065549805,0.9340676016387451,2.846043348312378,True,False,24571.582328708828,6.475146412849426,0.0,symmetric,False
AgriTrust-ACFL,1,9,0,False,0.7426494359970093,0.06699391696318724,0.5104924440383911,1.0,9,0.36235776833452077,0.8405894420836302,0.7736964225769043,True,False,912.8801341028224,6.475146412849426,0.0,symmetric,False
AgriTrust-ACFL,2,0,1,False,0.7450271844863892,1.0,0.5594112873077393,1.0,9,0.8290104193152281,0.9308136413844563,2.566246271133423,True,False,4381.312830616357,6.415615677833557,0.0,symmetric,False
AgriTrust-ACFL,2,1,1,False,0.7650240361690521,0.6703214201755237,0.40991196036338806,1.0,9,0.732570320850194,0.8851661875867279,3.1191723346710205,True,False,11416.822370036081,6.415615677833557,0.0,symmetric,False
AgriTrust-ACFL,2,2,0,False,0.6683893948793411,0.5730096960879294,0.5594112873077393,1.0,9,0.6717239199468337,0.8905528656073363,1.9558117389678955,True,False,10954.690799835844,6.415615677833557,0.0,symmetric,False
AgriTrust-ACFL,2,3,1,False,0.8030285537242889,0.7617856099274517,0.9414955377578735,1.0,9,0.7934635756095135,0.9483658939023784,2.930499315261841,True,False,15907.364258091682,6.415615677833557,0.0,symmetric,False
AgriTrust-ACFL,2,4,1,False,0.7192820608615875,0.04109781361193902,0.3951263725757599,1.0,9,0.3177783619722637,0.697289168194605,0.5408834218978882,True,False,342.3506266655935,6.415615677833557,0.0,symmetric,False
AgriTrust-ACFL,2,5,0,False,0.7309201657772064,0.011651693119701413,0.44511061906814575,1.0,9,0.2169539240769056,0.6516205815447651,0.29245656728744507,True,False,300.3970880921367,6.415615677833557,0.0,symmetric,False
AgriTrust-ACFL,2,6,1,False,0.5868089348077774,0.08041108267358078,0.25707870721817017,1.0,9,0.34449038431020185,0.7086388342266512,0.7504110932350159,True,False,464.4998159963376,6.415615677833557,0.0,symmetric,False
AgriTrust-ACFL,2,7,1,False,0.8147110939025879,0.8551826051111088,0.44511061906814575,1.0,9,0.8513986763396686,0.9327622730389968,2.7697513103485107,True,False,5564.532308868909,6.415615677833557,0.0,symmetric,False
AgriTrust-ACFL,2,8,1,False,0.7855443358421326,0.8010404932869205,0.9414955377578735,1.0,9,0.7884848307779275,0.8976719089235408,2.859543800354004,True,False,15057.05143058757,6.415615677833557,0.0,symmetric,False
AgriTrust-ACFL,3,0,2,False,0.6936988979578018,0.5218952638018581,0.3766215145587921,1.0,8,0.6558195855808292,0.8620651274335496,2.5747878551483154,True,False,2587.313677498591,2.2856195271015167,0.0,symmetric,True
AgriTrust-ACFL,3,1,1,False,0.7257149815559387,0.6138037595978011,0.40045252442359924,1.0,8,0.6930639482838821,0.8371406277610165,1.9829446077346802,True,False,10797.391472831858,2.2856195271015167,0.0,symmetric,True
AgriTrust-ACFL,3,4,1,False,0.7792311310768127,0.7213018345286142,0.4374699890613556,1.0,8,0.7843966023116175,0.7190660267238581,0.5340030789375305,True,False,353.04249096573864,2.2856195271015167,0.0,symmetric,True
AgriTrust-ACFL,3,5,1,False,0.7304599583148956,0.49617385991959073,0.4374699890613556,1.0,8,0.6683293304213589,0.6557977687639136,0.2923593819141388,True,False,192.76950992105859,2.2856195271015167,0.0,symmetric,True
AgriTrust-ACFL,3,6,1,False,0.6026617586612701,0.9068556794362909,0.16407063603401184,1.0,8,0.7231211907825444,0.7122594233656245,0.7720215916633606,True,False,466.87304606449607,2.2856195271015167,0.0,symmetric,True
AgriTrust-ACFL,3,7,0,False,0.7912273406982422,0.6229424364660073,0.3766215145587921,1.0,8,0.7618393466399433,0.8900315414392335,1.936314344406128,True,False,8327.135101705468,2.2856195271015167,0.0,symmetric,True
AgriTrust-ACFL,3,8,0,False,0.5413914509117603,0.9093549129131425,0.2431238293647766,1.0,8,0.6674279770001462,0.8401109259426921,1.0530452728271484,True,False,22099.958017848458,2.2856195271015167,0.0,symmetric,True
AgriTrust-ACFL,3,9,0,False,0.6889531314373016,0.9093549129131425,0.40045252442359924,1.0,8,0.760361629840551,0.8205324890228604,0.7754503488540649,True,False,891.0982830788264,2.2856195271015167,0.0,symmetric,True
AgriTrust-ACFL,4,1,3,False,0.703949511051178,0.5896528333117176,0.4206185042858124,1.0,8,0.6733949336618256,0.7962042042362188,3.0951318740844727,True,False,4175.22477494989,3.387298285961151,0.0,symmetric,True
AgriTrust-ACFL,4,2,0,False,0.7581787705421448,0.7308481919507872,0.37695375084877014,1.0,8,0.7744591472109288,0.8615294360082344,2.122457981109619,True,False,10597.67359233729,3.387298285961151,0.0,symmetric,True
AgriTrust-ACFL,4,3,3,False,0.4375530108809471,0.6088374464363114,0.4206185042858124,1.0,8,0.5312419976511243,0.8440849198395649,2.9257898330688477,True,False,5756.299823444057,3.387298285961151,0.0,symmetric,True
AgriTrust-ACFL,4,4,0,False,0.8071843385696411,0.6148054827724273,0.690173327922821,1.0,8,0.7623255048181657,0.729880896247435,0.5203200578689575,True,False,562.008290110525,3.387298285961151,0.0,symmetric,True
AgriTrust-ACFL,4,5,0,False,0.7246665358543396,0.4310669188853369,0.5104961395263672,1.0,8,0.6379134387086327,0.6513266862500934,0.278803288936615,True,False,300.26160236129306,3.387298285961151,0.0,symmetric,True
AgriTrust-ACFL,4,6,0,False,0.5944033861160278,0.7559598915206931,0.3292829096317291,1.0,8,0.6795219089566392,0.7040750447633781,0.7481918931007385,True,False,723.7891460167527,3.387298285961151,0.0,symmetric,True
AgriTrust-ACFL,4,7,1,False,0.7315692752599716,0.7697803241065083,0.5104961395263672,1.0,8,0.7775241014059177,0.8619046814309045,1.937442660331726,True,False,5141.820789301068,3.387298285961151,0.0,symmetric,True
AgriTrust-ACFL,4,9,2,False,0.8184954226016998,0.7697803241065083,0.690173327922821,1.0,8,0.7951788616479059,0.8141940821791217,0.7723959684371948,True,False,359.4948994964511,3.387298285961151,0.0,symmetric,True
AgriTrust-ACFL,5,0,2,False,0.70253586769104,0.5123809311850861,0.6548872590065002,1.0,8,0.6567663403438603,0.8107404306611273,2.0277299880981445,True,False,2433.2730073370526,2.762773111462593,0.0,symmetric,True
AgriTrust-ACFL,5,1,0,False,0.7215895801782608,0.6762048108554551,0.39313822984695435,1.0,8,0.7112564413459389,0.7749672635136489,1.5671566724777222,True,False,15676.037806354088,2.762773111462593,0.0,symmetric,True
AgriTrust-ACFL,5,2,0,False,0.7728282511234283,0.7031833143534163,0.6548872590065002,1.0,8,0.773645815782812,0.8395585309518788,1.5112388134002686,True,False,10327.409489239062,2.762773111462593,0.0,symmetric,True
AgriTrust-ACFL,5,3,1,False,0.581805482506752,0.8344845171946418,0.7330133318901062,1.0,8,0.6830121076108663,0.8038167167823902,0.9211302399635315,True,False,13482.776418694164,2.762773111462593,0.0,symmetric,True
AgriTrust-ACFL,5,4,1,False,0.7125361859798431,0.4437887751768064,0.39313822984695435,1.0,8,0.6454770913606757,0.7087799450257452,0.5124195218086243,True,False,347.992295615078,2.762773111462593,0.0,symmetric,True
AgriTrust-ACFL,5,5,0,False,0.583956316113472,0.2418723261680041,0.23520474135875702,1.0,8,0.4763293931768286,0.6075773629817772,0.2916237711906433,True,False,280.0931643345993,2.762773111462593,0.0,symmetric,True
AgriTrust-ACFL,5,6,0,False,0.6410670578479767,0.6644879251528184,0.24588820338249207,1.0,8,0.6814785140153129,0.6984259120763617,0.7454888820648193,True,False,717.9818376144999,2.762773111462593,0.0,symmetric,True
AgriTrust-ACFL,5,8,0,False,0.48548121843487024,0.8344845171946418,0.7330133318901062,1.0,8,0.6125949874360445,0.7832319413160302,1.289088249206543,True,False,20603.699448259493,2.762773111462593,0.0,symmetric,True
AgriTrust-ACFL,6,0,1,False,0.6928716897964478,0.6076052273674646,0.37157899141311646,1.0,7,0.6859790033510135,0.7795500738335989,1.4083338975906372,True,False,3669.3196024878434,1.9641727209091187,0.0,symmetric,True
AgriTrust-ACFL,6,3,0,False,0.6543824076652527,0.9172484780769827,0.7645502090454102,1.0,7,0.7495983304600247,0.7902621202017988,0.8693255186080933,True,False,20788.635334028517,1.9641727209091187,0.0,symmetric,True
AgriTrust-ACFL,6,4,0,False,0.6302508115768433,0.6703206182738344,0.13942095637321472,1.0,7,0.6828122147522104,0.7022880124573615,0.49175289273262024,True,False,540.7617695921683,1.9641727209091187,0.0,symmetric,True
