Stage,Method,Init,InitTrust,GateMode,Threshold,Lambda,Components,TrustUpdate,Runs
ablation,AgriTrust-ACFL,warm-start,fresh,hybrid,0.4349,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,asymmetric,15
ablation,AgriTrust-ACFL,warm-start,fresh,hybrid,0.608,0.45,,symmetric,15
ablation,AgriTrust-ACFL,warm-start,fresh,hybrid,0.608,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,15
ablation,AgriTrust-ACFL,warm-start,fresh,hybrid,0.608,0.45,clip+direction+gate+history+norm+reliability+similarity,symmetric,15
ablation,AgriTrust-ACFL,warm-start,fresh,hybrid,0.608,0.45,clip+direction+history+norm+reliability,symmetric,15
ablation,AgriTrust-ACFL,warm-start,fresh,hybrid,0.608,0.45,clip+direction+history+norm+reliability+similarity,symmetric,15
ablation,AgriTrust-ACFL,warm-start,fresh,hybrid,0.608,0.45,direction,symmetric,15
ablation,AgriTrust-ACFL,warm-start,fresh,hybrid,0.608,0.45,direction+history+norm+reliability,symmetric,15
ablation,AgriTrust-ACFL,warm-start,fresh,hybrid,0.608,0.45,direction+norm,symmetric,15
benign_audit,AgriTrust-ACFL,warm-start,carried,absolute,0.608,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,25
benign_audit,AgriTrust-ACFL,warm-start,carried,hybrid,0.608,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,25
calibration,AgriTrust-ACFL,scratch,fresh,off,0.0,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,asymmetric,1
calibration,AgriTrust-ACFL,scratch,fresh,off,0.0,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,1
connectivity,AgriTrust-ACFL,scratch,fresh,hybrid,0.608,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,20
connectivity,Async-Stale,scratch,fresh,hybrid,0.608,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,20
dominant_client,AgriTrust-ACFL,scratch,fresh,hybrid,0.5823,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,1
dominant_client,AgriTrust-ACFL,scratch,fresh,off,0.0,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,1
dominant_client,Async-Stale,scratch,fresh,hybrid,0.5823,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,1
dominant_client,CoordMedian,scratch,fresh,hybrid,0.5823,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,1
dominant_client,FedAvg,scratch,fresh,hybrid,0.5823,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,1
dominant_client,FedProx,scratch,fresh,hybrid,0.5823,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,1
