Method,Accuracy,BalancedAccuracy,MacroPrecision,MacroRecall,MacroF1,MacroAUROC,MacroFPR,LogLoss,TrainSeconds,CommMB,Parameters,PoisonRatio,AttackType,Attackers,CleanContinuationMacroF1,AttackDamage
FedAvg,0.811591382904795,0.5328491485754535,0.7302538808634104,0.5328491485754535,0.4981516167072207,0.9573108835194172,0.10875413920431448,0.7433182394833282,26.72967028617859,17.28973388671875,22662,0.0,none,,0.4981516167072207,0.0
CoordMedian,0.6061153578874218,0.7005577955299443,0.7426842668230681,0.7005577955299443,0.6384032484667285,0.9580159272153418,0.07906622845389878,0.5554342436334766,26.177555799484253,17.28973388671875,22662,0.0,none,,0.6384032484667285,0.0
TrimmedMean,0.6709659485753996,0.7103307670978096,0.751535010864278,0.7103307670978096,0.6633467654102335,0.9595509892385156,0.07104258253003488,0.48617485836487484,26.31300377845764,17.28973388671875,22662,0.0,none,,0.6633467654102335,0.0
MultiKrum,0.5893815149409312,0.6492180300130933,0.5406408004283986,0.6492180300130933,0.5186064982865883,0.9569004263001205,0.08188915657302226,1.1990766167382543,26.206265449523926,17.28973388671875,22662,0.0,none,,0.5186064982865883,0.0
Async-Stale,0.8063099374565671,0.49221126069985915,0.39710954960988926,0.49221126069985915,0.43349569551839107,0.9365414854849804,0.11162060126162861,1.3803794438214139,20.34333634376526,13.831787109375,22662,0.0,none,,0.43349569551839107,0.0
RawTrust,0.8096177901320362,0.5235878051716111,0.7225239734961892,0.5235878051716111,0.4824162611040084,0.9560000316878375,0.10964819116381229,0.6944109175682283,21.03976058959961,13.831787109375,22662,0.0,none,,0.4824162611040084,0.0
AgriTrust-ACFL,0.828825573314802,0.5778095593797193,0.8855835630153422,0.5778095593797193,0.5644208041754983,0.9579840069982155,0.09814257121682757,0.40981809922697743,25.36920666694641,13.831787109375,22662,0.0,none,,0.5644208041754983,0.0
FedAvg,0.8095899930507297,0.5262133736766076,0.7289385942185391,0.5262133736766076,0.4872136720331867,0.9565506174026011,0.10988666432445078,0.8116953057674631,26.474854946136475,17.28973388671875,22662,0.1,sign_flip,9,0.4981516167072207,0.010937944674033973
CoordMedian,0.7779847116052815,0.6812064518428732,0.7629721366478636,0.6812064518428732,0.6745621205417102,0.9587184748282368,0.06730537018621845,0.41065169650689826,26.1788330078125,17.28973388671875,22662,0.1,sign_flip,9,0.6384032484667285,-0.036158872074981696
TrimmedMean,0.8337456567060458,0.6109990592313513,0.8649016139607517,0.6109990592313513,0.624955321183347,0.9600073545826578,0.0955375638843144,0.35583025491492765,25.835875511169434,17.28973388671875,22662,0.1,sign_flip,9,0.6633467654102335,0.03839144422688656
MultiKrum,0.5888533703961084,0.6237734922004509,0.7135335189684052,0.6237734922004509,0.49634952390918313,0.9575582128673408,0.08192567197278844,0.9727256325779143,25.884779691696167,17.28973388671875,22662,0.1,sign_flip,9,0.5186064982865883,0.022256974377405203
Async-Stale,0.8060597637248089,0.49147343482676525,0.39713498387626167,0.49147343482676525,0.43313714291248656,0.93528090786995,0.11178688580119084,1.443263550976501,21.018303632736206,13.831787109375,22662,0.1,sign_flip,9,0.43349569551839107,0.0003585526059045052
RawTrust,0.8079777623349548,0.5004795060488673,0.5624938539477223,0.5004795060488673,0.44197465705928657,0.952164585046322,0.11027394569911138,0.9194036700597092,20.455392360687256,13.831787109375,22662,0.1,sign_flip,9,0.4824162611040084,0.04044160404472186
AgriTrust-ACFL,0.808533703961084,0.512012792383589,0.5573390670535856,0.512012792383589,0.46387166289513543,0.9566343900178209,0.11017917061180749,0.690147762593798,25.42438793182373,13.831787109375,22662,0.1,sign_flip,9,0.5644208041754983,0.10054914128036291
FedAvg,0.8189576094510076,0.547655070902051,0.7327171202676029,0.547655070902051,0.5227371844713197,0.9580399120423144,0.10437021384666861,0.670004026205361,26.25365686416626,17.28973388671875,22662,0.1,model_replace,9,0.4981516167072207,-0.02458556776409898
CoordMedian,0.6063655316191799,0.7109652228607763,0.7319843481212228,0.7109652228607763,0.648318698560998,0.9583714880022839,0.07907573610145884,0.5453083195643293,29.58771586418152,17.28973388671875,22662,0.1,model_replace,9,0.6384032484667285,-0.009915450094269529
TrimmedMean,0.6201528839471856,0.7067432006516844,0.7469707943199492,0.7067432006516844,0.6346321714783972,0.9594939428578364,0.07670293279271077,0.49550435664004355,25.992586135864258,17.28973388671875,22662,0.1,model_replace,9,0.6633467654102335,0.028714593931836285
MultiKrum,0.5888533703961084,0.6237734922004509,0.7135335189684052,0.6237734922004509,0.49634952390918313,0.9575582128673408,0.08192567197278844,0.9727256325779143,26.209976196289062,17.28973388671875,22662,0.1,model_replace,9,0.5186064982865883,0.022256974377405203
Async-Stale,0.8065323141070188,0.49286710592038707,0.397080113210824,0.49286710592038707,0.43380734432029006,0.9385002355280028,0.11147141950982077,1.3081609222763517,21.074054718017578,13.831787109375,22662,0.1,model_replace,9,0.43349569551839107,-0.00031164880189898936
