Method,Round,Client,Staleness,Malicious,DirectionScore,NormScore,MaxSimilarity,SimilarityScore,ConsensusVotes,InstantTrust,UpdatedTrust,UpdateNorm,PoisonRatio,AttackType,Accepted,Probation,AggregationWeight,ClipCap,EffectiveThreshold
RawTrust,1,0,0,False,0.8055307865142822,0.7408505610589599,0.9046610593795776,1.0,7.0,0.790914770734468,0.7826696792375174,2.00687837600708,0.0,none,,,,,
RawTrust,1,1,0,False,0.8446044325828552,1.0,0.7128185033798218,1.0,7.0,0.8721726069405046,0.8375521104263192,1.5805162191390991,0.0,none,,,,,
RawTrust,1,2,0,False,0.8432656228542328,0.6703208879221654,0.9046610593795776,1.0,7.0,0.8000943678496879,0.7913200359321293,2.1732754707336426,0.0,none,,,,,
RawTrust,1,4,0,False,0.8934335708618164,0.22518234681570498,0.7556198835372925,1.0,7.0,0.5963877027106336,0.5300502790464826,0.48225727677345276,0.0,none,,,,,
RawTrust,1,5,0,False,0.6556451767683029,0.11021037707380715,0.1358092874288559,1.0,7.0,0.40101161747767783,0.3732657165777994,0.27302640676498413,0.0,none,,,,,
RawTrust,1,8,0,False,0.20931434631347656,0.9178882764455442,-0.12136932462453842,1.0,7.0,0.396852856012518,0.4850127346788024,1.6921005249023438,0.0,none,,,,,
RawTrust,1,9,0,False,0.9208666682243347,0.3996322613925641,0.7556198835372925,1.0,7.0,0.6969509607945564,0.6906786905009444,0.7614408135414124,0.0,none,,,,,
RawTrust,2,0,0,False,0.8840069770812988,1.0,0.8279845714569092,1.0,7.0,0.9107851777183069,0.8146985538577148,1.5265090465545654,0.0,none,,,,,
RawTrust,2,2,0,False,0.9175273180007935,0.6703239119553456,0.8279845714569092,1.0,7.0,0.8381115684108223,0.8030179190518026,1.6361395120620728,0.0,none,,,,,
RawTrust,2,3,1,False,0.23385199904441833,0.7081574466906334,-0.21698933839797974,1.0,7.0,0.3938507418720841,0.5149738329082315,1.620637059211731,0.0,none,,,,,
RawTrust,2,4,1,False,0.758680135011673,0.0012562665036681229,0.7561544179916382,1.0,7.0,0.11493199804108292,0.42627070879513274,0.47940388321876526,0.0,none,,,,,
RawTrust,2,6,1,False,0.7561027407646179,0.018340408206819033,0.3769778609275818,1.0,7.0,0.25418579838080185,0.4981428265005792,0.7631102800369263,0.0,none,,,,,
RawTrust,2,7,1,False,0.7959859371185303,0.8157669559144617,0.5078525543212891,1.0,7.0,0.8287644556623653,0.8238919703783136,1.5813688039779663,0.0,none,,,,,
RawTrust,2,9,1,False,0.808175265789032,0.017352817647467562,0.7561544179916382,1.0,7.0,0.25312491839366147,0.5812902474741237,0.7558212876319885,0.0,none,,,,,
RawTrust,3,1,0,False,0.7146411836147308,0.9226337464766194,0.6650410890579224,1.0,9.0,0.7766052445752578,0.8223153939635538,1.7075752019882202,0.0,none,,,,,
RawTrust,3,2,2,False,0.6251217871904373,0.6703209291585328,0.4235590994358063,1.0,9.0,0.678642967511054,0.7719241811666154,2.1761720180511475,0.0,none,,,,,
RawTrust,3,3,0,False,0.44545603543519974,0.7980853898042743,0.8154558539390564,1.0,9.0,0.5818788830392386,0.5317000954409833,1.9062672853469849,0.0,none,,,,,
RawTrust,3,4,1,False,0.7263476848602295,0.17514318127223802,0.39500635862350464,1.0,9.0,0.49355051224842855,0.4430906596584567,0.42810025811195374,0.0,none,,,,,
