Method,PoisonRatio,AttackType,ClientRounds,TrustAUROC_ClientRound,TrustAUPRC_ClientRound,TrustAUROC_FinalRound,MeanTrustMalicious,MeanTrustBenign,MaxConsecutiveBenignQuarantine,ProbationAdmitsMalicious,ProbationAdmitsBenign,BenignFalseQuarantine,MaliciousQuarantineRecall,QuarantinePrecision,AdmittedFraction,MinAdmittedPerRound
AgriTrust-ACFL,0.0,none,80,,0.0,,,0.6736936438489878,3.0,0.0,1.0,0.0875,,0.0,0.9125,5.0
AgriTrust-ACFL,0.1,adaptive_slow_drift,80,0.02777777777777775,0.058791255351845394,0.125,0.7873369750909307,0.6710526080988619,2.0,0.0,0.0,0.06944444444444445,0.0,0.0,0.9375,5.0
AgriTrust-ACFL,0.1,alie_jitter,80,0.031249999999999972,0.0589865368851437,0.125,0.7857994026172641,0.6720805864982035,2.0,0.0,0.0,0.06944444444444445,0.0,0.0,0.9375,5.0
AgriTrust-ACFL,0.1,collusive_scale,80,0.8715277777777778,0.6670456712433257,1.0,0.5372884682554249,0.6706752197007813,2.0,1.0,0.0,0.08333333333333333,0.375,0.3333333333333333,0.8875,5.0
AgriTrust-ACFL,0.1,gaussian,80,0.15625,0.06506174665538988,0.125,0.7450122364678543,0.6540918605356995,3.0,0.0,0.0,0.125,0.0,0.0,0.8875,5.0
AgriTrust-ACFL,0.1,model_replace,80,0.8732638888888888,0.675379004576659,1.0,0.5368462755290169,0.6706833684650884,2.0,1.0,0.0,0.08333333333333333,0.375,0.3333333333333333,0.8875,5.0
AgriTrust-ACFL,0.1,sign_flip,80,0.8472222222222222,0.592759337727558,1.0,0.5681544609561652,0.6678136571713235,2.0,0.0,0.0,0.05555555555555555,0.375,0.42857142857142855,0.9125,5.0
AgriTrust-ACFL,0.2,adaptive_slow_drift,80,0.9010270774976658,0.8438983217920599,1.0,0.3825566287929251,0.6692225071773276,2.0,2.0,0.0,0.047619047619047616,0.5294117647058824,0.75,0.85,5.0
AgriTrust-ACFL,0.2,alie_jitter,80,0.029878618113912257,0.1222713694407927,0.0,0.8083425259168658,0.6603095985671128,3.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.8875,5.0
AgriTrust-ACFL,0.2,collusive_scale,80,0.9663865546218489,0.9345361674081396,1.0,0.33256277938232837,0.6790717962580092,2.0,2.0,0.0,0.06349206349206349,0.7058823529411765,0.75,0.8,5.0
AgriTrust-ACFL,0.2,gaussian,80,0.30718954248366015,0.1568671033989324,0.28571428571428575,0.705903939969492,0.6494463878052829,3.0,0.0,0.0,0.12698412698412698,0.0,0.0,0.9,5.0
AgriTrust-ACFL,0.2,model_replace,80,0.8832866479925303,0.7183226354107738,1.0,0.5445711278605668,0.6735959361870477,1.0,0.0,0.0,0.031746031746031744,0.35294117647058826,0.75,0.9,5.0
AgriTrust-ACFL,0.2,sign_flip,80,0.7852474323062558,0.5155175256286451,0.8571428571428572,0.5874186415349761,0.6804555178009513,1.0,0.0,0.0,0.031746031746031744,0.17647058823529413,0.6,0.9375,5.0
AgriTrust-ACFL,0.3,adaptive_slow_drift,80,0.9925595238095237,0.9877450980392156,1.0,0.27342157082590307,0.6925435286426416,1.0,4.0,0.0,0.05357142857142857,0.7916666666666666,0.8636363636363636,0.725,4.0
AgriTrust-ACFL,0.3,alie_jitter,80,0.07514880952380952,0.17917106889423035,0.0,0.8034592768721952,0.6582100834774113,3.0,0.0,2.0,0.10714285714285714,0.0,0.0,0.925,6.0
AgriTrust-ACFL,0.3,collusive_scale,80,0.9985119047619048,0.9967948717948718,1.0,0.2610340786958251,0.7185316032562498,0.0,4.0,0.0,0.0,0.7916666666666666,1.0,0.7625,5.0
AgriTrust-ACFL,0.3,gaussian,80,0.48363095238095244,0.29636205891351136,0.3888888888888889,0.6590346813077975,0.6441734098122854,3.0,0.0,2.0,0.14285714285714285,0.08333333333333333,0.2,0.875,5.0
AgriTrust-ACFL,0.3,model_replace,80,0.9367559523809524,0.928563338517572,1.0,0.571773570369872,0.7170558025012939,1.0,1.0,0.0,0.017857142857142856,0.375,0.9,0.875,5.0
AgriTrust-ACFL,0.3,sign_flip,80,0.9211309523809524,0.8592894804522379,0.9444444444444444,0.574404433065855,0.7222912380358579,1.0,2.0,0.0,0.017857142857142856,0.375,0.9,0.875,6.0
AgriTrust-ACFL,0.4,adaptive_slow_drift,80,0.9748549323017408,0.9667832923637769,1.0,0.24579962072184858,0.6416122414150287,2.0,6.0,0.0,0.06382978723404255,0.696969696969697,0.8846153846153846,0.675,4.0
AgriTrust-ACFL,0.4,alie_jitter,80,0.0367504835589942,0.2513853792352267,0.0,0.8216784303416975,0.5598981013128497,3.0,0.0,2.0,0.23404255319148937,0.0,0.0,0.8625,4.0
AgriTrust-ACFL,0.4,collusive_scale,80,0.9993552546744036,0.9991087344028521,1.0,0.24579962072184858,0.733447917784483,1.0,6.0,0.0,0.02127659574468085,0.7575757575757576,0.9615384615384616,0.675,4.0
AgriTrust-ACFL,0.4,gaussian,80,0.5009671179883946,0.41176964286265383,0.3,0.6528699535555402,0.6281415680611752,3.0,0.0,2.0,0.14893617021276595,0.12121212121212122,0.36363636363636365,0.8625,5.0
AgriTrust-ACFL,0.4,model_replace,80,0.754996776273372,0.612236971032047,0.6,0.6460013019643384,0.7173782391568116,3.0,0.0,1.0,0.0851063829787234,0.21212121212121213,0.6363636363636364,0.8625,5.0
AgriTrust-ACFL,0.4,sign_flip,80,0.8175370728562218,0.6937686321343473,0.85,0.6072756046196881,0.7061931662145884,3.0,1.0,2.0,0.1276595744680851,0.21212121212121213,0.5384615384615384,0.8375,5.0
RawTrust,0.0,none,80,,0.0,,,0.6221477556803222,,,,,,,,
RawTrust,0.1,adaptive_slow_drift,80,0.4131944444444445,0.09311886265901576,0.25,0.6977099110823703,0.6153389746231755,,,,,,,,
RawTrust,0.1,alie_jitter,80,0.4184027777777778,0.09404783054988891,0.375,0.6961805894579429,0.6156907335086689,,,,,,,,
