Method,Accuracy,BalancedAccuracy,MacroPrecision,MacroRecall,MacroF1,MacroAUROC,MacroFPR,LogLoss,TrainSeconds,CommMB,Parameters,DropoutRate,MaxStaleness
Async-Stale,0.8123419041000695,0.5292789182888483,0.8994037940379404,0.5292789182888483,0.49360091062659045,0.9570884368246748,0.10818120421392013,0.7145941250355892,56.74599742889404,34.5794677734375,22662,0.0,0
AgriTrust-ACFL,0.798860319666435,0.6920247622780842,0.7546533756006694,0.6920247622780842,0.6723425148208562,0.9597480441920978,0.07301774615705198,0.36226547959767763,68.44974088668823,34.5794677734375,22662,0.0,0
Async-Stale,0.8083113273106324,0.5105247073370828,0.5635439179845548,0.5105247073370828,0.46152871570639636,0.9526890527272688,0.11027915689071305,0.832406213323125,55.90275740623474,34.5794677734375,22662,0.0,1
AgriTrust-ACFL,0.7891591382904795,0.6865108451161577,0.7381216758761678,0.6865108451161577,0.6391750359414371,0.9585989031889381,0.07251882761266744,0.3780001106516251,66.81861758232117,34.5794677734375,22662,0.0,1
Async-Stale,0.8073384294649062,0.4964618490498674,0.5622744238768028,0.4964618490498674,0.43624058758502304,0.9419743577186238,0.11065409297085547,0.9569917402662984,54.363821268081665,34.5794677734375,22662,0.0,2
AgriTrust-ACFL,0.8218207088255733,0.5544693838319652,0.8776481495049039,0.5544693838319652,0.5305118819248956,0.9560918107946333,0.10221613463182101,0.4573678792328073,66.34240961074829,34.5794677734375,22662,0.0,2
Async-Stale,0.8324391938846422,0.5983724191725472,0.8421352349773458,0.5983724191725472,0.588115111530518,0.9573990572614672,0.09330440638895517,0.35623907865729937,53.2132089138031,34.5794677734375,22662,0.0,4
AgriTrust-ACFL,0.7041000694927033,0.6915536730958319,0.7447364829359132,0.6915536730958319,0.6392934253479505,0.9578823555500745,0.0678123691437517,0.4504209018288338,64.13976788520813,34.5794677734375,22662,0.0,4
Async-Stale,0.8133981931897151,0.5190983005635932,0.7260875192720789,0.5190983005635932,0.4776495043557692,0.9548160234561088,0.10728403395687285,0.5452608381970899,56.32090997695923,34.5794677734375,22662,0.0,6
AgriTrust-ACFL,0.8308547602501737,0.5832042659289004,0.8497642221472059,0.5832042659289004,0.5709672910889156,0.9564612237485277,0.09667883078240208,0.3608417027166138,74.48196983337402,34.5794677734375,22662,0.0,6
Async-Stale,0.8278248783877693,0.5437624354746385,0.8980442113365467,0.5437624354746385,0.5199123170871048,0.9592706176062863,0.09839469069635025,0.4274704020766972,45.36319136619568,27.317779541015625,22662,0.2,0
AgriTrust-ACFL,0.5902988186240444,0.6501640548323784,0.7277084922861197,0.6501640548323784,0.5207027088535887,0.9578653167448099,0.08170128939206928,1.0612302306247687,55.850014448165894,27.317779541015625,22662,0.2,0
Async-Stale,0.8077275886031967,0.4986756291807823,0.5628654165261026,0.4986756291807823,0.4396508737488202,0.9487965602346285,0.11050305188363137,1.028791313440497,46.047191858291626,27.66357421875,22662,0.2,1
AgriTrust-ACFL,0.7925225851285616,0.6166216169965192,0.7920655407949022,0.6166216169965192,0.6049596830223593,0.9569880329679071,0.07552995727420528,0.3682197644077559,57.04896640777588,27.66357421875,22662,0.2,1
Async-Stale,0.8077553856845031,0.5055356880907144,0.5641156564778345,0.5055356880907144,0.45489218838968976,0.9492877442863877,0.11075597519794479,0.8548385086843544,50.59172987937927,29.0467529296875,22662,0.2,2
AgriTrust-ACFL,0.7386518415566365,0.7226627894951014,0.7046514638753631,0.7226627894951014,0.6728140361339959,0.9583784585501062,0.06536324950930276,0.41798624814820784,61.58415484428406,29.0467529296875,22662,0.2,2
Async-Stale,0.8060597637248089,0.49154906143180294,0.39602336114779146,0.49154906143180294,0.43226852756163986,0.9307220357394677,0.11156441570528404,1.2115336653523718,47.653446674346924,29.392547607421875,22662,0.2,4
AgriTrust-ACFL,0.8084503127171647,0.5014560498021482,0.8678630321230342,0.5014560498021482,0.4428936250452442,0.955001731099216,0.10992242545451829,0.5631606792593286,58.73381185531616,29.392547607421875,22662,0.2,4
