Method,Client,Rows,MacroF1,Accuracy
FedAvg,0,2336,0.38037563925433787,0.8578767123287672
FedAvg,1,492,0.433670134158728,0.21951219512195122
FedAvg,2,8994,1.0,1.0
FedAvg,3,1140,0.5769296923808293,0.537719298245614
FedAvg,4,3595,0.27354086460702937,0.2247566063977747
FedAvg,5,275,0.3911205073995772,0.9018181818181819
FedAvg,6,387,0.7020621104773026,0.9483204134366925
FedAvg,7,8994,0.8333055323881011,0.9998888147653991
FedAvg,8,8444,0.388515483799819,0.8006868782567503
FedAvg,9,1318,0.3840786887367607,0.6274658573596358
FedProx,0,2336,0.40244431096595773,0.8634417808219178
FedProx,1,492,0.44231349504186823,0.24390243902439024
FedProx,2,8994,0.4806022301012281,0.9986657771847899
FedProx,3,1140,0.6450665709586335,0.5894736842105263
FedProx,4,3595,0.35468391281204276,0.2467315716272601
FedProx,5,275,0.34070100143061516,0.8836363636363637
FedProx,6,387,0.7789469992747906,0.9534883720930233
FedProx,7,8994,0.33316639771483686,0.9983322214809873
FedProx,8,8444,0.4094930345360061,0.8055423969682615
FedProx,9,1318,0.4509770647840558,0.644916540212443
Async-Stale,0,2336,0.37956144651796836,0.8565924657534246
Async-Stale,1,492,0.43659159472588094,0.22764227642276422
Async-Stale,2,8994,0.6409700020115644,0.9996664442961974
Async-Stale,3,1140,0.6074286106796492,0.5605263157894737
Async-Stale,4,3595,0.33986614380103625,0.23421418636995828
Async-Stale,5,275,0.3911205073995772,0.9018181818181819
Async-Stale,6,387,0.7452658526339244,0.9509043927648578
Async-Stale,7,8994,0.5554999474812631,0.9996664442961974
Async-Stale,8,8444,0.3850052997125812,0.8028185693983894
Async-Stale,9,1318,0.4158860839558105,0.633535660091047
CoordMedian,0,2336,0.4921142807077263,0.8527397260273972
CoordMedian,1,492,0.7200832799487509,0.9857723577235772
CoordMedian,2,8994,0.3624098557692308,0.48143206582165887
CoordMedian,3,1140,0.6414863413882327,0.7149122807017544
CoordMedian,4,3595,0.6048981096675924,0.9468706536856746
CoordMedian,5,275,0.5450742240215924,0.9054545454545454
CoordMedian,6,387,0.5917105218652426,0.8914728682170543
CoordMedian,7,8994,0.22987910189982727,0.48087613964865467
CoordMedian,8,8444,0.39751688371060795,0.6005447655139744
CoordMedian,9,1318,0.5723036721286978,0.6388467374810318
TrimmedMean,0,2336,0.49861762606119503,0.8574486301369864
TrimmedMean,1,492,0.7200832799487509,0.9857723577235772
TrimmedMean,2,8994,0.28454278305963704,0.48554591950189013
TrimmedMean,3,1140,0.6386565442929442,0.7175438596491228
TrimmedMean,4,3595,0.6115576726042554,0.9485396383866481
TrimmedMean,5,275,0.6474399674399675,0.9090909090909091
TrimmedMean,6,387,0.6989780819411899,0.8888888888888888
TrimmedMean,7,8994,0.2308290930859024,0.4861018456748944
TrimmedMean,8,8444,0.40361939453537743,0.6036238749407864
TrimmedMean,9,1318,0.5711542871332159,0.6426403641881638
MultiKrum,0,2336,0.4890640740530619,0.9019691780821918
MultiKrum,1,492,0.6286547085201794,0.9817073170731707
MultiKrum,2,8994,0.1295622085151196,0.4787636201912386
MultiKrum,3,1140,0.5141463518115362,0.612280701754386
MultiKrum,4,3595,0.847296387857973,0.9513212795549374
MultiKrum,5,275,0.39494687131050765,0.1781818181818182
MultiKrum,6,387,0.39149489240326196,0.17829457364341086
MultiKrum,7,8994,0.16186644608211762,0.4786524349566378
MultiKrum,8,8444,0.2522569301850504,0.5839649455234486
MultiKrum,9,1318,0.627928377042855,0.6798179059180577
RawTrust,0,2336,0.43769724397318016,0.8634417808219178
RawTrust,1,492,0.4430177187153931,0.2459349593495935
RawTrust,2,8994,0.6188435184817038,0.9987769624193907
RawTrust,3,1140,0.6320680468222444,0.5807017543859649
RawTrust,4,3595,0.3346453965853657,0.2497913769123783
RawTrust,5,275,0.3421985815602837,0.8981818181818182
RawTrust,6,387,0.7603962703962704,0.9534883720930233
RawTrust,7,8994,0.4164719192818458,0.9984434067155882
RawTrust,8,8444,0.420532319577624,0.8064898152534344
RawTrust,9,1318,0.4436089445670437,0.6471927162367223
AgriTrust-ACFL,0,2336,0.4379470733832853,0.8685787671232876
AgriTrust-ACFL,1,492,0.4471933962919435,0.258130081300813
AgriTrust-ACFL,2,8994,0.6182856080820954,0.9954414053813654
AgriTrust-ACFL,3,1140,0.5524703663275766,0.6043859649122807
AgriTrust-ACFL,4,3595,0.32897136910566055,0.26564673157162727
AgriTrust-ACFL,5,275,0.3398989898989899,0.8727272727272727
AgriTrust-ACFL,6,387,0.7241910758280865,0.9328165374677002
AgriTrust-ACFL,7,8994,0.374484650955485,0.9958861463197687
AgriTrust-ACFL,8,8444,0.4027627208310876,0.8080293699668404
AgriTrust-ACFL,9,1318,0.4689105086149255,0.6600910470409712
