Method,Accuracy,BalancedAccuracy,MacroPrecision,MacroRecall,MacroF1,MacroAUROC,MacroFPR,LogLoss,TrainSeconds,CommMB,Parameters,MaxConsecutiveBenignQuarantine,ProbationAdmitsMalicious,Seed,Scenario,MeanTrustMalicious,MeanTrustBenign,BenignFalseQuarantine,MaliciousQuarantineRecall
A0 Staleness-weighted only,0.8081167477414871,0.5000768823593241,0.7281199098646224,0.5000768823593241,0.4394161466475368,0.956408612539474,0.10999015716566347,0.6937101316362587,23.02535891532898,,22662,0,0,8800,clean,,1.0,0.0,
A1 +Direction,0.8087838776928422,0.5042841853843759,0.7129556138105292,0.5042841853843759,0.4472524144987268,0.956707758416119,0.10954253658331205,0.637585476697079,21.713295698165894,,22662,0,0,8800,clean,,0.7701847995967993,0.0,
A2 +Norm,0.8084225156358582,0.5033127623938525,0.7279307364591322,0.5033127623938525,0.44543502612974945,0.956426753910236,0.10975258870127465,0.6824954051364548,22.439637184143066,,22662,0,0,8800,clean,,0.6673179543718235,0.0,
A3 +Reliability+History,0.8089228630993746,0.5056355306596263,0.7043205510100137,0.5056355306596263,0.44974218769442537,0.9571569801032084,0.10944458786783946,0.5997576641956365,22.66138195991516,,22662,0,0,8800,clean,,0.7875592140476415,0.0,
A4 +Clipping,0.8089228630993746,0.5056355306596263,0.7043205510100137,0.5056355306596263,0.44974218769442537,0.9571569832893031,0.10944458786783946,0.5997576740383723,21.925272941589355,,22662,0,0,8800,clean,,0.7875592131976652,0.0,
A5 +Similarity (duplicate-aware consensus),0.8089228630993746,0.5056355306596263,0.7043205510100137,0.5056355306596263,0.44974218769442537,0.9571569832893031,0.10944458786783946,0.5997576740383723,22.728847980499268,,22662,0,0,8800,clean,,0.7875592131976652,0.0,
A6 +Gate (no probation),0.8095343988881167,0.5133388590392614,0.7102983483430693,0.5133388590392614,0.4636219200512485,0.957079135567776,0.10917948625826802,0.5840942660792179,21.876678228378296,,22662,2,0,8800,clean,,0.7865238247665154,0.03125,
"A7 +Probation (full AgriTrust, symmetric memory)",0.8095343988881167,0.5133388590392614,0.7102983483430693,0.5133388590392614,0.4636219200512485,0.957079135567776,0.10917948625826802,0.5840942660792179,22.94297480583191,,22662,2,0,8800,clean,,0.7865238247665154,0.03125,
"A8 Full AgriTrust, asymmetric memory",0.8101737317581654,0.5134428766311203,0.7094241526381485,0.5134428766311203,0.46376800403991475,0.9575243783804437,0.1087368513400865,0.5595822135171695,22.795411348342896,,22662,1,0,8800,clean,,0.6602622027435762,0.015625,
A0 Staleness-weighted only,0.10560111188325226,0.25775813045904833,0.029097775559706968,0.25775813045904833,0.04806655621976541,0.548410920492847,0.1695214920894129,13.123913487625668,18.644625425338745,,22662,0,0,8801,sign_flip@0.3,1.0,1.0,0.0,
A1 +Direction,0.16291869353717858,0.3122267263725875,0.04133745788536374,0.3122267263725875,0.07097625213491744,0.5524401289558039,0.16376400200779032,12.11299875056749,18.68610382080078,,22662,0,0,8801,sign_flip@0.3,0.7413299142820842,0.8116841517754343,0.0,
A2 +Norm,0.38237665045170255,0.35654615260190875,0.2171595275068209,0.35654615260190875,0.16080118589061898,0.6541626984656932,0.11900387547935838,4.96835473327687,19.469396591186523,,22662,0,0,8801,sign_flip@0.3,0.5893904001628484,0.7371810941962882,0.0,
A3 +Reliability+History,0.13653926337734537,0.2811161412395618,0.03478262132702567,0.2811161412395618,0.05921071745682082,0.5926266654977526,0.16738330090094142,11.092474547097828,18.16086769104004,,22662,0,0,8801,sign_flip@0.3,0.7533330329794953,0.83947366405134,0.0,
A4 +Clipping,0.732314107018763,0.5673827096003561,0.42561841924785854,0.5673827096003561,0.45336181906784995,0.9481449145262469,0.07696129252514046,0.5149126833402036,18.872459650039673,,22662,0,0,8801,sign_flip@0.3,0.7521133774305087,0.8370811453507307,0.0,
A5 +Similarity (duplicate-aware consensus),0.732314107018763,0.5673827096003561,0.42561841924785854,0.5673827096003561,0.45336181906784995,0.9481449145262469,0.07696129252514046,0.5149126833402036,19.499951601028442,,22662,0,0,8801,sign_flip@0.3,0.7521133774305087,0.8370811453507307,0.0,
