Method,Accuracy,BalancedAccuracy,MacroPrecision,MacroRecall,MacroF1,MacroAUROC,MacroFPR,LogLoss,TrainSeconds,CommMB,Parameters,Seed
FedAvg,0.8274357192494788,0.5776528165159359,0.8928400345107673,0.5776528165159359,0.562040034296758,0.9564204753519264,0.099363613938474,0.5977250503280525,117.85683298110962,69.158935546875,22662,7
FedProx,0.8308269631688673,0.6037769803696915,0.8602325510595246,0.6037769803696915,0.5932548528884005,0.958674195942808,0.0972137211022033,0.3944795185760085,141.937726020813,69.158935546875,22662,7
Async-Stale,0.822765809589993,0.5673822538161136,0.8945776859552573,0.5673822538161136,0.5501191368914076,0.958164944757085,0.102138232663817,0.5592671320947646,97.21519136428832,56.88322448730469,22662,7
CoordMedian,0.6089784572619875,0.7252646116803146,0.7534648952416547,0.7252646116803146,0.6680781155932665,0.9593011710382092,0.0786988300732709,0.554482084251148,113.73103547096252,69.158935546875,22662,7
TrimmedMean,0.6237943015983322,0.7275110011197685,0.7622282526791061,0.7275110011197685,0.6758003779869353,0.9612914248681388,0.0760382311224921,0.4993069984838273,113.4950077533722,69.158935546875,22662,7
MultiKrum,0.590632383599722,0.6582529027171999,0.6608519029899648,0.6582529027171999,0.5301007080562086,0.9591230576584738,0.081628624898445,1.1634738179610309,111.8249444961548,69.158935546875,22662,7
RawTrust,0.8187352328005559,0.5398696586264732,0.7246453562469094,0.5398696586264732,0.5106107320674956,0.9571638202453828,0.1041362690009301,0.6686690852209513,88.69939422607422,54.46266174316406,22662,7
AgriTrust-ACFL,0.8299930507296733,0.590769496641726,0.8779252943740424,0.590769496641726,0.5817548793388543,0.9593375085671751,0.097519879596468,0.4568939362457936,114.08597660064696,55.84584045410156,22662,7
FedAvg,0.8257123002084781,0.5687297043661385,0.8970680735652521,0.5687297043661385,0.5537794417751879,0.9612994563482912,0.1004622238331113,0.6514385154499885,107.51110005378725,69.158935546875,22662,19
FedProx,0.8322446143154969,0.6026996144025581,0.8574106069027376,0.6026996144025581,0.594380195285549,0.959449195085027,0.0961125005050356,0.3875148166686759,132.28338956832886,69.158935546875,22662,19
Async-Stale,0.8079499652536484,0.4972749990163659,0.3961846345536901,0.4972749990163659,0.4352974471894252,0.944954356827906,0.1103652051855014,1.311779237907473,84.3289692401886,53.598175048828125,22662,19
CoordMedian,0.6161501042390549,0.7238946188988274,0.7545548700982071,0.7238946188988274,0.6679430007481524,0.9591325264781648,0.0774471823577082,0.5510668725865036,107.66759276390076,69.158935546875,22662,19
TrimmedMean,0.6781653926337734,0.7305250851007484,0.7618297459925812,0.7305250851007484,0.6872928771120453,0.959088482289971,0.0704383060502158,0.4753718513876152,107.14194893836977,69.158935546875,22662,19
MultiKrum,0.59135510771369,0.6616786968373373,0.6391354925911396,0.6616786968373373,0.5230074713206836,0.9575902255858216,0.0815493636622019,1.1852242455102469,107.79107761383057,69.158935546875,22662,19
RawTrust,0.8317442668519806,0.5980822903950319,0.8753592823825384,0.5980822903950319,0.5885398769280056,0.9591434993724,0.0965618363496002,0.3861493537301044,89.28419470787048,53.9439697265625,22662,19
AgriTrust-ACFL,0.8319944405837387,0.602567650057965,0.8729009044925694,0.602567650057965,0.5930417456994233,0.9586001164226492,0.0962786658331328,0.3909282252760514,108.25985145568848,54.80845642089844,22662,19
FedAvg,0.8267963863794302,0.5630822501828615,0.7243158811934892,0.5630822501828615,0.5454758132940872,0.9580003658738075,0.0996950891356301,0.6548501090133605,107.15316891670228,69.158935546875,22662,41
FedProx,0.8324391938846422,0.6140711045634248,0.8653437181338806,0.6140711045634248,0.6072831696936198,0.9595058941260112,0.0964882216187256,0.3850821088348529,130.62234163284302,69.158935546875,22662,41
Async-Stale,0.8294093120222377,0.580560351967072,0.8850378503952808,0.580560351967072,0.56984552974407,0.9582559025342848,0.0979774166298921,0.4027233325004342,90.57388305664062,56.88322448730469,22662,41
CoordMedian,0.6178735232800556,0.7165030024566215,0.7451395909302733,0.7165030024566215,0.6599754020151262,0.955468239301002,0.0771216863312612,0.5241938161934208,106.478093624115,69.158935546875,22662,41
TrimmedMean,0.6221264767199444,0.7210429851610516,0.7606279141684369,0.7210429851610516,0.6690736532351683,0.9600446528394152,0.0763998923775156,0.5031782224145243,107.63188076019289,69.158935546875,22662,41
MultiKrum,0.5914662960389159,0.6571466164012262,0.6525661886377793,0.6571466164012262,0.5276822711578247,0.9583872640333548,0.081477696241177,1.1967733866397132,107.8936219215393,69.158935546875,22662,41
RawTrust,0.827991660875608,0.5866242367056428,0.8718753658045624,0.5866242367056428,0.5680929523615712,0.9604114041568385,0.0989234305840338,0.5460518483398772,87.99943137168884,55.672943115234375,22662,41
AgriTrust-ACFL,0.5951077136900625,0.6754052514823313,0.694263625612988,0.6754052514823313,0.5658738087729964,0.9571727665621078,0.0810013874751316,0.5760648920663254,111.95781183242798,58.439300537109375,22662,41
FedAvg,0.8267407922168173,0.5678289596950813,0.8930077838822511,0.5678289596950813,0.5529104108402563,0.9610194495271768,0.0997178679851289,0.6718286115648275,108.06995391845705,69.158935546875,22662,73
FedProx,0.8320222376650451,0.6062152036438732,0.8684754345689255,0.6062152036438732,0.5946777561801669,0.9594201623491742,0.0964664664387999,0.3806423085862603,130.91009521484375,69.158935546875,22662,73
Async-Stale,0.8103961084086171,0.5467136795158686,0.7156688290864234,0.5467136795158686,0.5150952758784166,0.9498038099078784,0.1095646648455562,0.9185006466651754,90.15005016326904,54.46266174316406,22662,73
CoordMedian,0.6096177901320361,0.719886302808118,0.7422850292748673,0.719886302808118,0.6629868380418759,0.9578362809432625,0.0784347071716935,0.5586718815303442,107.16345119476318,69.158935546875,22662,73
TrimmedMean,0.6175121612230716,0.7303931339425227,0.766887543224985,0.7303931339425227,0.6801259436006603,0.9561897606551008,0.0772741000646228,0.5032663645033184,106.55869817733765,69.158935546875,22662,73
MultiKrum,0.5917998610145935,0.6624606415661455,0.658907972475873,0.6624606415661455,0.527275530723086,0.9587941740599636,0.0814051453991067,1.1984807254484218,107.24994325637816,69.158935546875,22662,73
RawTrust,0.5877414871438499,0.6377888513945255,0.4893881245914832,0.6377888513945255,0.4792589099704707,0.9580671978800094,0.0821629625391818,0.7700098419523419,87.2057204246521,56.19163513183594,22662,73
