Scenario,Method,Metric,NSeeds,Mean,SD,CI95_Low,CI95_High
clean,AgriTrust-ACFL,MacroAUROC,10,0.9582363232851995,0.0012979895309137353,0.9573077975103598,0.9591648490600392
clean,AgriTrust-ACFL,MacroF1,10,0.5826241418241132,0.0605210491395429,0.5393299913644815,0.6259182922837448
clean,AgriTrust-ACFL,MacroFPR,10,0.08617660719321332,0.012040143970146543,0.07756360705507512,0.09478960733135153
clean,Async-Stale,MacroAUROC,10,0.9477644587086018,0.00935541289358884,0.9410719994868006,0.954456917930403
clean,Async-Stale,MacroF1,10,0.4979032239844021,0.053153901988574184,0.4598792131166482,0.535927234852156
clean,Async-Stale,MacroFPR,10,0.10704450750032898,0.005389952846589265,0.10318876750856984,0.11090024749208813
clean,CoordMedian,MacroAUROC,10,0.9576401342841498,0.001734318239422146,0.9563994777543977,0.958880790813902
clean,CoordMedian,MacroF1,10,0.6622637885287166,0.0056881271261626865,0.6581947475068765,0.6663328295505567
clean,CoordMedian,MacroFPR,10,0.07813008293352872,0.0006940217826450951,0.07763360965840721,0.07862655620865022
clean,FedAvg,MacroAUROC,10,0.9592911862441513,0.001545701993604793,0.9581854576484262,0.9603969148398764
clean,FedAvg,MacroF1,10,0.550659044013993,0.005200543239190624,0.546938799492947,0.554379288535039
clean,FedAvg,MacroFPR,10,0.10002545992604255,0.000537710100738766,0.09964080529205939,0.1004101145600257
clean,FedProx,MacroAUROC,10,0.9587255791352518,0.0012840812885626474,0.9578070027176281,0.9596441555528755
clean,FedProx,MacroF1,10,0.5954917495043233,0.006359977838377718,0.590942095435707,0.6000414035729396
clean,FedProx,MacroFPR,10,0.0967766643968587,0.0007086397442114736,0.09626973406197921,0.09728359473173818
clean,MultiKrum,MacroAUROC,10,0.9584987845409391,0.0005035506156173811,0.9581385661305425,0.9588590029513356
clean,MultiKrum,MacroF1,10,0.5292801356596717,0.004720079901827091,0.5259035939050829,0.5326566774142605
clean,MultiKrum,MacroFPR,10,0.08155112617312935,0.00012900171034145583,0.08145884390875228,0.0816434084375064
clean,RawTrust,MacroAUROC,10,0.9586928169925798,0.002445016071226746,0.9569437578607752,0.9604418761243844
clean,RawTrust,MacroF1,10,0.5622303723660456,0.06249820843315605,0.5175218473514887,0.6069388973806025
clean,RawTrust,MacroFPR,10,0.09227667551979936,0.012748575967108133,0.08315689366021158,0.10139645737938714
clean,TrimmedMean,MacroAUROC,10,0.9590087546614491,0.0018835311892223565,0.9576613576175944,0.9603561517053038
clean,TrimmedMean,MacroF1,10,0.6765660459951832,0.006858705359785337,0.6716596237499215,0.6814724682404449
clean,TrimmedMean,MacroFPR,10,0.07590215409825538,0.001950328386446856,0.07450697321806551,0.07729733497844524
adaptive_slow_drift@0.3,AgriTrust-ACFL,MacroAUROC,10,0.9567626512975144,0.0030582607274619324,0.9545749033658115,0.9589503992292172
adaptive_slow_drift@0.3,AgriTrust-ACFL,MacroF1,10,0.5643366399863543,0.06437801247241876,0.5182833841704061,0.6103898958023025
adaptive_slow_drift@0.3,AgriTrust-ACFL,MacroFPR,10,0.09426458590295819,0.010886934732143637,0.08647654195727493,0.10205262984864145
