Method,Accuracy,BalancedAccuracy,MacroPrecision,MacroRecall,MacroF1,MacroAUROC,MacroFPR,LogLoss,TrainSeconds,CommMB,Parameters,PoisonRatio,AttackType,Attackers,Seed,Scenario
FedAvg,0.7525225851285615,0.3550652950528206,0.3469473388475884,0.3550652950528206,0.3147086145362026,0.5419174194904379,0.1456400230877141,3.61473624581925,30.996676206588745,17.28973388671875,22662,0.3,sign_flip,"4,5,7",7,sign_flip@0.3
CoordMedian,0.6846421125781793,0.6192570855323801,0.5598679993702235,0.6192570855323801,0.5156817853042823,0.953517284137749,0.0759779388751564,0.5373280051931763,31.0872266292572,17.28973388671875,22662,0.3,sign_flip,"4,5,7",7,sign_flip@0.3
TrimmedMean,0.8064211257817929,0.5655364186540082,0.5521681249774666,0.5655364186540082,0.4913253266691414,0.9511203784178012,0.1047135314107464,0.5353430495869795,30.88136959075928,17.28973388671875,22662,0.3,sign_flip,"4,5,7",7,sign_flip@0.3
MultiKrum,0.5901876302988186,0.6721798072712488,0.5122382469389307,0.6721798072712488,0.5198877221977757,0.9573822076091618,0.0817921250055735,0.997992375864,31.419150829315186,17.28973388671875,22662,0.3,sign_flip,"4,5,7",7,sign_flip@0.3
Async-Stale,0.7491869353717859,0.3823816959017933,0.2868759741791458,0.3823816959017933,0.3238852629454715,0.9108140924303552,0.1460113334624893,1.7332340213140045,25.285200595855716,14.004684448242188,22662,0.3,sign_flip,"4,5,7",7,sign_flip@0.3
RawTrust,0.7405142460041696,0.3567241545548025,0.2757654820238788,0.3567241545548025,0.2507187077289817,0.9335577716691122,0.1467527243379268,0.8129316280203402,25.476756811141968,14.004684448242188,22662,0.3,sign_flip,"4,5,7",7,sign_flip@0.3
AgriTrust-ACFL,0.8303544127866574,0.6371005760529261,0.820993323111621,0.6371005760529261,0.620228400097166,0.9581506203031482,0.097559756332557,0.4014091777830426,30.88937520980835,14.004684448242188,22662,0.3,sign_flip,"4,5,7",7,sign_flip@0.3
FedAvg,0.8329673384294649,0.6006202258414223,0.8647466072323536,0.6006202258414223,0.6058369398765812,0.959393456544436,0.0956000755751911,0.3686899646990881,30.82480835914612,17.28973388671875,22662,0.3,model_replace,"4,5,7",7,model_replace@0.3
CoordMedian,0.5982209867963864,0.7201290432886526,0.678598292216641,0.7201290432886526,0.6064783735626663,0.9560920595104744,0.0804543428989439,0.5636049406419362,31.907301902771,17.28973388671875,22662,0.3,model_replace,"4,5,7",7,model_replace@0.3
TrimmedMean,0.5999166087560807,0.7273857392875209,0.6792530879248039,0.7273857392875209,0.619595627539006,0.9565007165050484,0.0801138758182462,0.5114088081604006,28.81315326690674,17.28973388671875,22662,0.3,model_replace,"4,5,7",7,model_replace@0.3
MultiKrum,0.6948714384989576,0.7345032024307918,0.6765340297307669,0.7345032024307918,0.6531761130736028,0.9583416309473696,0.0692629239956107,0.4653269306688545,28.840493202209476,17.28973388671875,22662,0.3,model_replace,"4,5,7",7,model_replace@0.3
Async-Stale,0.8147602501737318,0.5556234302773629,0.8368475940043818,0.5556234302773629,0.537021506693629,0.9541543962815028,0.1064844833613938,0.4820917106301184,22.69422078132629,14.004684448242188,22662,0.3,model_replace,"4,5,7",7,model_replace@0.3
RawTrust,0.5990548992355803,0.7521689317515832,0.6842983542138086,0.7521689317515832,0.669043333547772,0.9552647962946154,0.0802292569118339,0.6002669657960137,23.2730770111084,14.004684448242188,22662,0.3,model_replace,"4,5,7",7,model_replace@0.3
